"bec","site","block","plot","treat1","treat2","yr_surv","yrs_pb","yr","pft1","pft2","pft3","pft4","pft5","pft6","pft7","pft8"
"ich","Goat River",1,"1","CC","FB",1989,1,1,0,0.3,0.3,0,0,0,12,2
"ich","Goat River",1,"2","CC","FB",1989,1,1,1,2.1,0.2,0,0,0,3.5,1
"ich","Goat River",1,"3","CC","FB",1989,1,1,0,0.6,0.1,0.5,0,0,11,1.5
"ich","Goat River",3,"1","CC","FB",1989,1,1,0,3.7,1.2,1,0,0,7,2.5
"ich","Goat River",3,"2","CC","FB",1989,1,1,0,4.1,1.6,0,0,0,1.1,2
"ich","Goat River",3,"3","CC","FB",1989,1,1,0,3.6,1.5,0,0,0,3,0.1
"ich","Goat River",1,"1","CC","FB",1993,5,5,5,26,6.6,0,0,0,20.1,15
"ich","Goat River",1,"2","CC","FB",1993,5,5,1,31.5,23,0,0,0,17,1
"ich","Goat River",1,"3","CC","FB",1993,5,5,2,6,4,0.5,0,0,20.1,6
"ich","Goat River",3,"1","CC","FB",1993,5,5,3,13,20,2,0,0,12,2
"ich","Goat River",3,"2","CC","FB",1993,5,5,3,20.7,21.1,1,0,0,10.5,2
"ich","Goat River",3,"3","CC","FB",1993,5,5,2,53.6,14.2,0,0,0,13,0.5
"ich","Goat River",1,"1","CC","FB",1998,10,10,20,10.5,11.2,0,0,0,9,0.1
"ich","Goat River",1,"2","CC","FB",1998,10,10,0,12.4,28,0,0,0,6,0.1
"ich","Goat River",1,"3","CC","FB",1998,10,10,3,1.6,2.1,1,0,0,4.1,0.6
"ich","Goat River",3,"1","CC","FB",1998,10,10,5,2.2,4.6,1,0,0,1,0
"ich","Goat River",3,"2","CC","FB",1998,10,10,3,10.2,9.6,3,0,0,1.5,0
"ich","Goat River",3,"3","CC","FB",1998,10,10,5,11.2,19.7,0.1,0,0,2,0
"ich","Goat River",1,"1","CC","FB",2008,20,20,80.1,20.6,6.4,0,0,0,77,2.3
"ich","Goat River",1,"2","CC","FB",2008,20,20,25,34.8,13.2,0,0,0,55.4,0.1
"ich","Goat River",1,"3","CC","FB",2008,20,20,27,10.8,1,5,0,0,25.3,0.3
"ich","Goat River",3,"1","CC","FB",2008,20,20,40.1,22.6,13.4,9,0,0,45.2,0.1
"ich","Goat River",3,"2","CC","FB",2008,20,20,30,14.1,8.3,11,0,0,30,0.5
"ich","Goat River",3,"3","CC","FB",2008,20,20,60,28.1,8.5,0.3,0,0,40,0.1
"sbs","Brinks Mill",2,"a","CC","FB",1987,1,1,0,60.2,20.6,0,0,0,0,0
"sbs","Brinks Mill",2,"b","CC","FB",1987,1,1,0,90.5,13,0,0,0,0.5,0
"sbs","Brinks Mill",2,"c","CC","FB",1987,1,1,0,76.5,26.1,0,0,0,0.5,0
"sbs","Brinks Mill",2,"a","CC","FB",1991,5,5,0,96.6,18.8,0,0,0,0,0
"sbs","Brinks Mill",2,"b","CC","FB",1991,5,5,0,106.5,3.2,2,0,0,1,0
"sbs","Brinks Mill",2,"c","CC","FB",1991,5,5,0,95,2.7,3,0,0,3.2,0
"sbs","Brinks Mill",2,"a","CC","FB",1996,10,10,3,57.5,12.8,0,0,0,0.1,0
"sbs","Brinks Mill",2,"b","CC","FB",1996,10,10,15,42.4,4.2,5,0.1,0,1.2,0
"sbs","Brinks Mill",2,"c","CC","FB",1996,10,10,0,83.3,5.3,3,0,0,5,0
"sbs","Brinks Mill",2,"a","CC","FB",2007,21,20,26,252,17,90,0,1,24,0
"sbs","Brinks Mill",2,"b","CC","FB",2007,21,20,85,45,16,42,0,0,7,0
"sbs","Brinks Mill",2,"c","CC","FB",2007,21,20,7,165,7,0,0,0,7,0
"sbs","Francis Lake",1,"1","CC","FB",1987,1,1,0,27.6,26.1,0.1,0,0,0.1,0.5
"sbs","Francis Lake",1,"2","CC","FB",1987,1,1,0,35.3,25.6,0,0,0,2.5,0
"sbs","Francis Lake",1,"3","CC","FB",1987,1,1,0,33.5,42.5,0,0,0,0.5,0.1
"sbs","Francis Lake",2,"1","CC","FB",1987,1,1,0,10.3,29.5,0.6,0,0,1,0.1
"sbs","Francis Lake",2,"2","CC","FB",1987,1,1,0,13,32.5,1.1,0,0,1.5,0.5
"sbs","Francis Lake",2,"3","CC","FB",1987,1,1,0,13.1,26,0,0,0,10.2,0
"sbs","Francis Lake",1,"1","CC","FB",1991,5,5,0,64,30.5,2,0,0,10.5,0
"sbs","Francis Lake",1,"2","CC","FB",1991,5,5,1,84,6.5,0,0,0,17.5,0
"sbs","Francis Lake",1,"3","CC","FB",1991,5,5,0,88.2,4,1,0,0.5,10.5,0.2
"sbs","Francis Lake",2,"1","CC","FB",1991,5,5,6,48.7,19.2,4.5,0,0,11.5,0
"sbs","Francis Lake",2,"2","CC","FB",1991,5,5,1,37.6,20.5,7,0,0,12,0.1
"sbs","Francis Lake",2,"3","CC","FB",1991,5,5,0,67.3,7.5,8,0,0,24,5
"sbs","Francis Lake",1,"1","CC","FB",1996,10,10,5,43.6,3.1,4,0.1,0.1,10.1,0.1
"sbs","Francis Lake",1,"2","CC","FB",1996,10,10,10,50.4,11.4,1,0.1,2,16,0
"sbs","Francis Lake",1,"3","CC","FB",1996,10,10,5.5,52.2,2.3,1,0,1.1,16,0.2
