code,spp,authority,name,genus,family,order,class,division,kingdom,depth.root,vigour.sprout,spread.rate,AM,ECM,ERM,MIX,seed.size,seed.quant,seed.disp,seed.long,height,dur.plant,dur.leaf,n.fix,gsm1,gsm2,gsm3,gsm4,gsm5,light.index,latesnow.melt,alptundra,montboreal,subalpboreal,cooltemp,coolmeso,semiarid
ABIEAMA,Abies amabilis,(Dougl. ex Loud.) Dougl. ex Forbes,amabilis fir,Abies,Pinaceae,Pinales,Pinopsida,Pinophyta,Plantae,1,0,0,0,1,0,0,0.75,0.5,0.5,0.333333333,1,1,1,0,1,0.5,0,0,0,0.2,0,0,0,0.5,0,1,0
ABIELAS,Abies lasiocarpa,(Hook.) Nutt.,subalpine fir,Abies,Pinaceae,Pinales,Pinopsida,Pinophyta,Plantae,1,0,0.3,0,1,0,0,0.75,0.5,0.5,0.333333333,1,1,1,0,1,0.5,0,0,0,0.2,0,0,0.5,1,1,0,0
ACERGLA,Acer glabrum,Torr.,Douglas maple,Acer,Sapindaceae,Sapindales,Magnoliopsida,Magnoliophyta,Plantae,1,1,0,1,0,0,0,0.75,0.5,0.5,0.333333333,1,1,0,0,0,1,0,0,0,0.6,0,0,1,0.5,1,0.5,0.5
ACHIMIL,Achillea millefolium,L.,yarrow,Achillea,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0.6,1,0,0,0,0.5,0.75,0.75,0.666666667,0,1,0.5,0,0,1,0.5,0,0,0.8,0,1,1,1,1,0.5,1
ACTARUB,Actaea rubra,(Ait.) Willd.,baneberry,Actaea,Ranunculaceae,Ranunculales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0,1,0,0,0,0.75,0.25,0.5,0.666666667,0,1,0,0,0,1,0,0,0,0.4,0,0,1,0,1,1,0
AGOSAUR,Agoseris aurantiaca,(Hook.) Greene,orange agoseris,Agoseris,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0,1,0,0,0,0.5,0.5,0.75,0.666666667,0,1,0,0,0,1,0,0,0,0.8,0,1,0.5,0.5,0,0,0.5
AGROEXA,Agrostis exarata,Trin.,spike bentgrass,Agrostis,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.3,0.3,1,0,0,0,0.25,0.5,0.25,1,0,1,0,0,0,0,1,0,0,0.8,0,0,0,0.5,1,1,0.5
AGROSCA,Agrostis scabra,Willd.,hair bentgrass,Agrostis,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.3,0.6,0.3,1,0,0,0,0.25,0.75,0.25,1,0,1,0,0,0,0,1,0,0.5,0.8,0,0.5,1,1,1,1,0.5
ALNUCRI,Alnus crispa,(Ait.) Pursh,green or Sitka alder,Alnus,Betulaceae,Fagales,Magnoliopsida,Magnoliophyta,Plantae,1,1,0.3,0,1,0,0,0.5,0.5,0.5,0.666666667,0.6,1,0,1,0,0.5,1,0,0,0.6,0,0.5,1,1,1,1,0.5
ALNUTEN,Alnus tenuifolia,Nutt.,mountain alder,Alnus,Betulaceae,Fagales,Magnoliopsida,Magnoliophyta,Plantae,1,0.6,0.3,0,1,0,0,0.5,0.5,0.5,0.666666667,0.6,1,0,1,0,1,0.5,0,0,0.6,0,0,1,0.5,1,0,0.5
AMELALN,Amelanchier alnifolia,Nutt.,saskatoon,Amelanchier,Rosaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae,1,1,0,1,0.3,0,0,0.75,0.5,0.5,0.666666667,0.6,1,0,0,0,1,0,0,0,0.7,0,0,1,0.5,1,0.5,1
ANAPMAR,Anaphalis margaritacea,(L.) Benth. & Hook. f. ex C.B. Clarke,pearly everlasting,Anaphalis,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.6,0.6,1,0,0,0,0.25,0.75,0.75,0.666666667,0,1,0,0,0,0,1,0,0,1,0,0.5,1,1,1,1,1
ANTENEG,Antennaria neglecta,Greene,field pussytoes,Antennaria,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0.6,1,0,0,0,0.25,0.75,0.75,0.666666667,0,1,0.5,0,0,1,0,0.5,0,0.8,0,0.5,0.5,1,1,1,1
ANTEPUL,Antennaria pulcherrima,(Hook.) Greene,showy pussytoes,Antennaria,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0.6,1,0,0,0,0.25,0.75,0.75,0.666666667,0,1,0.5,0,0,1,0,0.5,0,0.8,0,0.5,1,0.5,1,0,1
AQUIFOR,Aquilegia formosa,Fisch. ex DC.,Sitka columbine,Aquilegia,Ranunculaceae,Ranunculales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0.5,0.5,0.25,0.666666667,0,1,0,0,0,1,0,0,0,0.6,0,0,1,1,1,1,1
ARALNUD,Aralia nudicaulis,L.,wild sarsaparilla,Aralia,Araliaceae,Apiales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0.6,1,0,0,0,0.75,0.25,0.5,0.666666667,0,1,0,0,0,1,0,0,0,0.4,0,0,1,0,1,0,1
ARNICOR,Arnica cordifolia,Hook.,heart-leaved arnica,Arnica,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0.6,1,0,0,0,0.5,0.5,0.75,0.666666667,0,1,0,0,0,1,0,0,0,0.6,0,0,1,1,1,0,1
ARNILAT,Arnica latifolia,Bong.,mountain arnica,Arnica,Asteraceae,Asterales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0.5,0.5,0.75,0.666666667,0,1,0,0,0,0.5,1,0,0,0.8,1,1,0.5,1,0.5,0,0
ARUNDIO,Aruncus dioicus,(Walt.) Fern.,goatsbeard,Aruncus,Rosaceae,Rosales,Magnoliopsida,Magnoliophyta,Plantae,0.6,0.6,0,1,0,0,0,0.25,0.5,0.25,0.666666667,0,1,0,0,0,1,0,0,0,0.6,0,0,0.5,0.5,1,1,0
ATHYFIL,Athyrium filix-femina,(L.) Roth,lady fern,Athyrium,Athyriaceae,Athyriales,Pteridopsida,Pteridophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0,1,1,0.666666667,0,1,0,0,0,1,0,0,0.5,0.4,0,0.5,1,1,1,1,0.5
BETUPAP,Betula papyrifera,Marsh.,paper birch,Betula,Betulaceae,Fagales,Magnoliopsida,Magnoliophyta,Plantae,1,1,0,0,1,0,0,0.5,0.75,0.5,0.666666667,1,1,0,0,0.5,0.5,0,0,0,0.8,0,0.5,1,0.5,1,0.5,0.5
BOTRLUN,Botrychium lunaria,(L.) Sw.,common moonwort,Botrychium,Ophioglossaceae,Ophioglossales,Ophioglossopsida,Ophioglossophyta,Plantae,0.3,0.3,0,1,0,0,0,0,0.75,1,0.666666667,0,1,0,0,0,1,0.5,0,0,0.6,0,1,1,1,1,0.5,0.5
BOTRVIR,Botrychium virginianum,(L.) Sw.,rattlesnake fern,Botrychium,Ophioglossaceae,Ophioglossales,Ophioglossopsida,Ophioglossophyta,Plantae,0.3,0.3,0,1,0,0,0,0,1,1,0.666666667,0,1,0,0,0,1,0,0,0,0.4,0,0.5,0.5,1,1,1,0.5
BROMCIL,Bromus ciliatus,L.,fringed brome,Bromus,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,0.3,1,0,0,0,0.75,0.5,0.25,0.666666667,0,1,0,0,0,1,0,0,0,0.4,0,0,1,0.5,1,0,1
CALACAN,Calamagrostis canadensis,(Michx.) Beauv.,bluejoint reedgrass,Calamagrostis,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,1,1,0,0,0,0.5,0.75,0.75,0.666666667,0,1,0,0,0,1,0.5,0,0,0.6,0,0.5,1,1,1,0.5,0.5
CALARUB,Calamagrostis rubescens,Buckl.,pinegrass,Calamagrostis,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,1,1,0,0,0,0.5,0.75,0.25,0.666666667,0,1,0,0,0,1,0,0,0,0.4,0,0,0,0.5,1,0,1
CALASTR,Calamagrostis stricta,(Timm) Koel.,slimstem reedgrass,Calamagrostis,Poaceae,Poales,Liliopsida,Magnoliophyta,Plantae,0.6,0.6,0.6,1,0,0,0,0.5,0.75,0.25,0.666666667,0,1,0,0,0,1,0,0,0,0.6,0,0,1,0.5,1,0,1
CALTLEP,Caltha leptosepala,DC.,white mountain marsh-marigold,Caltha,Ranunculaceae,Ranunculales,Magnoliopsida,Magnoliophyta,Plantae,0.3,0.3,0,1,0,0,0,0.5,0.5,0.25,0.666666667,0,1,0,0,0,0.5,0,0,1,0.6,1,1,0.5,1,0,1,0
